feature,cshasta,epithelium_remaining,hatchery,enteritis,E_schreckii
Iodobacter,0,0,1,0,0
Ephemeroptericola,0,0,1,0,1
Carnobacterium,0,0,1,0,0
Serratia,0,0,1,0,0
Enterococcus,0,0,1,0,0
Massilia,0,0,1,0,1
Oxalobacteraceae,0,0,1,0,0
Undibacterium,0,0,1,0,0
Lactococcus,0,0,1,0,0
Patulibacter,0,0,1,1,1
Methylobacterium,0,0,1,0,1
Paucibacter,0,0,1,0,0
Arthrobacter,0,0,1,0,0
Comamonas,0,0,1,0,1
Chryseobacterium,0,0,1,1,1
Flavobacterium,0,0,1,0,0
Rothia,0,0,1,0,0
Actinomyces,0,0,1,0,1
Dolosigranulum,0,0,1,0,1
Bacillus,0,0,1,0,0
Paracoccus,0,0,1,0,1
Lautropia,0,0,1,0,1
Rhodoferax,0,0,1,0,0
Corynebacterium,0,0,1,0,1
Mobilicoccus,0,0,1,0,0
Anaerococcus,0,0,1,0,0
Pedobacter,0,0,1,0,1
Lachnospiraceae.NK4A136.group,0,0,1,0,0
Aeromonas,0,0,1,0,0
Tychonema.CCAP.1459.11B,0,0,1,0,0
Allomeiothermus,0,0,1,0,0
Enhydrobacter,0,0,1,0,0
Hafnia.Obesumbacterium,0,0,1,0,1
Pseudomonas,0,0,1,0,0
Caldicellulosiruptor,0,0,1,0,1
Muribaculaceae,0,0,1,0,0
Frondihabitans,0,0,0,1,1
Methylorubrum,0,0,0,1,1
Citrobacter,0,0,0,0,1
Sphingobacterium,0,0,0,0,1
Lawsonella,0,0,0,0,1
Curtobacterium,0,0,0,0,1
Rhodococcus,0,0,0,0,1
Bacteroides,0,0,0,0,1
Acinetobacter,0,0,0,0,1
Plesiomonas,0,0,0,0,1
Actinomycetospora,0,0,0,0,1
Segatella,0,0,0,0,1
Klebsiella,0,0,0,0,1
Staphylococcus,0,0,0,0,1
Dermacoccus,0,0,0,0,1
Streptococcus,0,0,0,0,1
Nakamurella,0,0,0,0,1
Abiotrophia,0,0,0,0,1
Kocuria,0,0,0,0,1
